college,category,course,duration,indicative_annual_fee_inr,eligibility,required_documents,application_deadline,seats
College of Engineering Trivandrum (CET),Engineering,B.Tech Computer Science and Engineering,4 years,65000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
College of Engineering Trivandrum (CET),Engineering,B.Tech Electronics and Communication Engineering,4 years,62000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
College of Engineering Trivandrum (CET),Engineering,B.Tech Mechanical Engineering,4 years,58000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
College of Engineering Trivandrum (CET),Engineering,B.Tech Civil Engineering,4 years,55000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,60
National Institute of Technology Calicut (NIT-C),Engineering,B.Tech Electronics and Communication Engineering,4 years,63500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,70
National Institute of Technology Calicut (NIT-C),Engineering,B.Tech Mechanical Engineering,4 years,59500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,70
National Institute of Technology Calicut (NIT-C),Engineering,B.Tech Civil Engineering,4 years,56500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,70
National Institute of Technology Calicut (NIT-C),Engineering,B.Tech Electrical and Electronics Engineering,4 years,59500,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,70
Government Engineering College Thrissur,Engineering,B.Tech Mechanical Engineering,4 years,61000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,80
Government Engineering College Thrissur,Engineering,B.Tech Civil Engineering,4 years,58000,"Pass in +2 (Science) with Physics, Chemistry, Mathematics; minimum 50% aggregate; valid KEAM rank (or JEE Main rank for NIT-C)","SSLC/10th certificate, +2 marksheet, KEAM/JEE rank card, transfer certificate, conduct certificate, community certificate (if applicable), 4 passport photos, Aadhaar copy",15 June,80
